mirna,uni_642,bi_645,tri_647,mat_648
miR845,4164.31964,7090.958238,15542.28904,13556.05403
miR156/157,4893.178693,6501.073264,7563.410167,3395.342293
miR161,4027.448331,2920.538683513,4461.157131862,667.55202187
miR159,2687.363267,2805.681221,1478.01823,2112.879823
miR158,344.2611372,566.1298897,755.5599189,3275.29074
miR165/166,1454.082292,1624.443378,1129.753737,534.1319852
miR162,1171.303603,1053.242575,1143.477538,140.9455532
miR396,299.7747421,345.8344081,211.8161767,381.6736533
miR168,185.0465952,236.5079677,136.887848,417.1904665
miR403,99.99265534,111.6650166,142.2724435,571.979038
miR319,51.58193949,83.72104191,79.83877022,548.3603283
miR172,26.08713877,34.91476273,32.99200091,522.3096043
miR866,30.32577346,92.77846992,190.1530966,189.0452657
miR163,28.56211069,16.1607913,15.07886672,427.6037167
miR160,29.47458536,49.21842471,55.76488043,271.8602865
miR859,1.999736653,4.201300413,4.310559933,379.0338115
miR167,142.656484,77.89780419,33.647963,118.0323631
miR8175,2.433888572,4.185158935,4.318966404,293.5355288
miR829,40.377185432999994,47.403392427,31.020723028,290.75535924
miR173,1.054736506,2.025430979,4.758240811,262.3184746
miR5020,22.93354546,79.40451321,104.7802949,52.63479844
miR4228,35.04392234,39.99850621,70.99130249,50.72797562
miR868,2.023704249,1.429445063,1.773910572,189.7300615
miR5026,12.78574851,28.99467615,76.82859371,58.33355682
miR390,33.31210818,26.14499737,27.62108408,85.89275272
miR398,10.13238722,13.1912353,17.39167564,119.146365
miR780,83.93723988,74.12190684000001,33.632403777,17.633506474
miR408,37.15545368,48.37342975,48.11415371,23.06799121
miR5658,26.75514397,49.86627849,32.09074011,12.72322702
miR394,8.189143633,8.296540619,5.910442036,96.02580852
miR5013,0.81608971,7.13108384,48.16145825,53.953272
miR5028,1.765883376,4.773655229,3.904284553,93.65168769
miR164,30.23794636,20.52001979,22.61441027,21.69695238
miR395,38.48084787,29.58373193,17.96419988,7.655251786
miR472,8.963120836,5.40652977,6.407934885,69.41857669
miR824,2.572386048,1.814472799,3.158358708,78.76460089
miR171,18.80841148,29.417152,16.06607281,16.78812027
miR447,13.701472961,10.39114318,15.949009067,113.18478029
miR2934,14.44189553,7.27114872,14.49856287,35.42036672
miR827,0.830470268,0.174069555,0.795737816,66.62248643
miR5653,23.05663321,11.93874374,12.77446427,18.37231482
miR393,7.66922295,9.839535512,5.744820039,39.85611148
miR414,19.34802083,21.98923743,13.48739109,7.812947574
miR5642,9.607158436,5.427276918,4.459995845,31.9891513
miR840,4.944473453,8.17838512,13.0144908,20.00617996
miR391,0.343589637,0.77005547,0.265245939,41.22859764
miR823,11.91265115,8.426231926,11.07495823,10.18996307
miR778,0.596616991,0.870347774,2.66927233,35.26701295
miR5643,5.71742149,8.101723916,13.72741761,11.82527555
miR169,0.820883229,1.801215273,2.545055832,33.9456447
miR846,0.940206627,0.994271177,4.443182902,28.56083056
miR5654,7.655356975,15.56192144,6.623368853,4.803701589
miR850,5.521916366,14.169365,7.212079173,6.281318282
miR5021,8.590770084,8.236020894,7.038050704,7.074139227
miR170,6.667215155,15.59592611,6.739805738,1.477616693
miR397,3.550940829,13.84485699,9.069427601,1.584194554
miR8167,9.402066274,5.725269876,7.92500599,3.378650158
miR8183,5.407386488,5.767926405,9.18461077,5.965926707
miR781,0.477293593,0.174069555,0.223840439,24.91645941
miR858,0.229059758,0.0,0.223840439,23.43884272
miR771,3.937157556,0.783312996,0.621709347,18.52856327
miR774,0.357970194,0.087034777,0.132622969,21.85464817
miR869,10.38062106,6.833090882,5.25573366,1.3199209060000001
miR839,6.490369526,4.807659903,2.312808921,5.595075197
miR775,4.443212264,4.522924471,3.249576178,6.54559193
miR8176,3.751239471,8.755345606,6.059877948,0.0
miR3440,5.431354084,9.950201389,2.495243861,0.316838911
miR5029,0.238646796,0.261104332,2.404026391,15.25793831
miR5659,2.72526408,8.728830554,3.390605618,2.058729252
miR5660,1.770676895,7.41293532,5.313952103,2.111294515
miR831,7.378362025,3.491764668,5.313952103,0.316838911
miR399,0.119323398,1.068048428,0.936767257,13.35690485
miR5023,6.27141139,5.319494993,2.934518268,0.316838911
miR2936,1.183646943,1.516479841,3.365386204,7.284400277
miR4243,0.119323398,0.297992958,0.0,10.34765886
miR1886,1.159679347,0.944125025,1.293230666,10.08338521
miR8121,3.445997989,4.027230858,1.243418695,0.950516733
miR843,1.174059904,1.379298912,6.714586323,0.316838911
miR3932,0.587029952,1.205229357,4.716835312,3.009245985
miR5022,1.269415706,2.112465756,0.845549787,5.067975237
miR773,0.233853277,0.522208664,0.712926817,7.655251786
miR402,1.298176822,1.640403244,3.862879054,2.058729252
miR779,0.0,0.47206251299999996,0.0,8.814582232
miR8166,0.0,0.385027735,0.0,7.865512836
miR851,2.66294833,0.994271177,1.110795725,3.061811247
miR5663,0.0,0.087034777,0.397868908,7.338412876
miR5641,1.164472866,3.291180062,2.66927233,0.316838911
miR5019,0.114529879,0.174069555,0.356463409,6.599604529
miR2111,0.238646796,0.55909729,0.621709347,5.596522534
miR5645,0.462913035,0.733166845,0.397868908,5.279683623
miR8165,3.154622481,0.733166845,2.312808921,0.633677822
miR826,0.233853277,0.0,0.886955286,5.384814148
miR860,0.114529879,0.087034777,0.0,6.228753019
miR8180,1.651353497,0.857090248,2.088968482,1.636759817
miR5655,1.059530026,0.820201622,2.35421442,1.055647257
miR852,0.587029952,0.348139109,0.663114847,3.536345945
miR5651,0.462913035,0.261104332,1.152201225,3.220954371
miR5662,0.582236433,0.609243441,1.202013195,2.639841812
miR861,0.233853277,0.087034777,0.356463409,4.276601628
miR825,0.119323398,0.907236399,0.886955286,2.956680722
miR3434,1.279002745,1.975284828,0.580303848,0.686243084
miR400,0.119323398,0.297992958,0.0,4.01232798
miR5639,0.353176675,1.031159802,0.530491877,2.428133426
miR844,0.119323398,0.595985916,0.447680879,3.11437651
miR5646,1.169266385,0.77005547,1.956345512,0.369404173
miR2939,0.0,0.087034777,0.0,4.064893242
miR2112,0.0,0.087034777,0.0,4.01232798
miR5633,0.233853277,0.981013651,0.663114847,1.901033465
miR404,0.119323398,2.085950705,0.489086378,1.003081995
miR865,1.183646943,0.348139109,0.356463409,1.636759817
miR8172,0.119323398,0.297992958,0.712926817,2.375568163
miR833,0.472500073,0.087034777,0.621709347,2.270437638
miR5656,0.0,2.645047995,0.0,0.738808346
miR847,0.820883229,0.55909729,0.265245939,1.689325079
miR832,0.591823471,0.261104332,1.691099574,0.738808346
miR854,0.945000147,0.857090248,1.467259134,0.0
miR415,0.119323398,1.576999567,0.356463409,1.055647257
miR5640,1.651353497,1.453076163,0.0,0.0
miR856,1.054736506,1.466333689,0.580303848,0.0
miR838,0.353176675,1.32915276,0.397868908,1.003081995
miR5016,0.825676749,0.907236399,0.978172756,0.369404173
miR2937,0.92582607,0.348139109,1.027984727,0.738808346
miR1888,0.353176675,0.733166845,0.580303848,1.319920906
miR853,0.238646796,0.0,0.132622969,2.480698688
miR5027,0.353176675,0.0,0.132622969,2.270437638
miR830,0.119323398,0.0,0.0,2.480698688
miR4221,0.458119516,0.472062513,0.356463409,1.267355643
miR418,0.71114687,1.366041386,0.447680879,0.0
miR836,0.114529879,1.751069121,0.580303848,0.0
miR5015,0.596616991,0.087034777,0.0,1.689325079
miR862,0.830470268,0.261104332,0.265245939,1.003081995
miR5637,0.930619589,0.783312996,0.580303848,0.0
miR5664,1.536823618,0.595985916,0.132622969,0.0
miR2933,0.357970194,0.174069555,0.0,1.689325079
miR5635,0.119323398,0.595985916,0.132622969,1.267355643
miR842,0.467706554,0.472062513,0.132622969,1.003081995
miR855,0.119323398,0.683020693,0.223840439,0.950516733
miR5661,0.0,0.893978873,0.0,1.055647257
miR867,0.715940389,0.385027735,0.132622969,0.633677822
miR776,0.119323398,0.087034777,0.356463409,1.267355643
miR837,0.119323398,0.0,0.356463409,1.319920906
miR5648,0.348383156,0.472062513,0.223840439,0.738808346
miR841,0.81608971,0.174069555,0.132622969,0.633677822
miR5024,0.572649394,0.174069555,0.621709347,0.369404173
miR5995,0.233853277,0.297992958,0.132622969,1.055647257
miR8171,0.587029952,0.087034777,0.397868908,0.633677822
miR5638,0.587029952,1.068048428,0.0,0.0
miR5657,0.0,0.0,0.580303848,1.003081995
miR5630,0.229059758,0.297992958,0.0,1.055647257
miR5018,0.0,0.472062513,0.0,1.10821252
miR5632,0.119323398,0.087034777,0.0,1.372486168
miR5665,0.458119516,0.646132067,0.132622969,0.316838911
miR5014,0.119323398,0.385027735,0.0,1.003081995
miR8174,0.353176675,0.0,0.489086378,0.633677822
miR8181,0.114529879,0.087034777,0.936767257,0.316838911
miR870,0.0,0.174069555,0.580303848,0.686243084
miR863,0.353176675,0.174069555,0.223840439,0.633677822
miR8179,0.0,0.0,0.0,1.372486168
miR835,0.353176675,0.0,0.265245939,0.686243084
miR8177,0.114529879,0.174069555,0.0,1.003081995
miR5595,0.0,0.0,0.265245939,1.003081995
miR4240,0.229059758,0.087034777,0.895361757,0.0
miR413,0.238646796,0.595985916,0.356463409,0.0
miR822,0.119323398,0.385027735,0.0,0.686243084
miR5650,0.114529879,0.297992958,0.132622969,0.633677822
miR848,0.114529879,0.087034777,0.580303848,0.369404173
miR5649,0.0,0.472062513,0.671521318,0.0
miR5629,0.119323398,0.385027735,0.621709347,0.0
miR3933,0.0,0.0,0.0,1.10821252
miR5012,0.0,0.683020693,0.0,0.369404173
miR416,0.0,0.0,0.0,1.003081995
miR5634,0.0,0.0,0.0,1.003081995
miR8173,0.233853277,0.595985916,0.0,0.0
miR405,0.238646796,0.261104332,0.0,0.316838911
miR419,0.472500073,0.087034777,0.223840439,0.0
miR4227,0.0,0.297992958,0.447680879,0.0
miR777,0.0,0.0,0.0,0.738808346
miR5652,0.114529879,0.174069555,0.397868908,0.0
miR8170,0.0,0.297992958,0.0,0.369404173
miR4245,0.0,0.0,0.0,0.633677822
miR5025,0.0,0.0,0.0,0.633677822
miR5998,0.0,0.0,0.0,0.633677822
miR782,0.229059758,0.087034777,0.0,0.316838911
miR834,0.233853277,0.087034777,0.265245939,0.0
miR864,0.357970194,0.0,0.223840439,0.0
miR5636,0.353176675,0.174069555,0.0,0.0
miR401,0.114529879,0.087034777,0.0,0.316838911
miR417,0.119323398,0.385027735,0.0,0.0
miR5631,0.0,0.0,0.132622969,0.369404173
miR8169,0.119323398,0.0,0.356463409,0.0
miR5644,0.114529879,0.087034777,0.265245939,0.0
miR5999,0.238646796,0.0,0.223840439,0.0
miR420,0.119323398,0.0,0.0,0.316838911
miR5996,0.119323398,0.0,0.0,0.316838911
miR8182,0.0,0.087034777,0.0,0.316838911
miR5997,0.0,0.0,0.356463409,0.0
miR828,0.0,0.297992958,0.0,0.0
miR8184,0.238646796,0.0,0.0,0.0
miR2938,0.0,0.0,0.223840439,0.0
miR857,0.119323398,0.087034777,0.0,0.0
miR406,0.119323398,0.0,0.0,0.0
miR5666,0.119323398,0.0,0.0,0.0
miR849,0.119323398,0.0,0.0,0.0
miR5017,0.114529879,0.0,0.0,0.0
miR5628,0.114529879,0.0,0.0,0.0
miR5647,0.0,0.087034777,0.0,0.0
